Columns,QuestionText
Respondent,Randomized respondent ID number (not in order of survey response time)
Q120,Agreeing Terms & Conditions to fill the survey
MainBranch,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"". *"
Age,What is your age? *
Employment,Which of the following best describes your current employment status? Select all that apply.
RemoteWork,Which best describes your current work situation?
CodingActivities,Which of the following best describes the code you write outside of work? Select all that apply.
EdLevel,Which of the following best describes the highest level of formal education that you have completed? *
LearnCode,How do you learn to code? Select all that apply.
LearnCodeOnline,What online resources do you use to learn to code? Select all that apply.
LearnCodeCoursesCert,What online courses or certifications do you use to learn to code? Select all that apply.
YearsCode,"Including any education, how many years have you been coding in total?"
YearsCodePro,"NOT including education, how many years have you coded professionally (as a part of your work)?"
DevType,"Which of the following describes your current job, the one you do most of the time? Please select only one."
OrgSize,"Approximately how many people are employed by the company or organization you currently work for?  This should only include your primary company, and not the entire holding or parent company if that applies."
PurchaseInfluence,"What level of influence do you, personally, have over new technology purchases at your organization?"
TechList,"When thinking about new technology purchases at your organization, are you more likely to be given a short list of products/services to evaluate or be told to investigate on your own?"
BuyNewTool,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply."
Country,Where do you live? 
Currency,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *"
CompTotal,"What is your current total annual compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty."
LanguageHaveWorkedWith,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
LanguageWantToWorkWith,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
DatabaseHaveWorkedWith,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
DatabaseWantToWorkWith,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
PlatformHaveWorkedWith,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)"
PlatformWantToWorkWith,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)"
WebframeHaveWorkedWith,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
WebframeWantToWorkWith,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
MiscTechHaveWorkedWith,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
MiscTechWantToWorkWith,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
ToolsTechHaveWorkedWith,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
ToolsTechWantToWorkWith,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
NEWCollabToolsHaveWorkedWith,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply."
NEWCollabToolsWantToWorkWith,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply."
OpSysPersonal use,What is the primary operating system in which you work? 
OpSysProfessional use,What is the primary operating system in which you use for Professional work? 
OfficeStackAsyncHaveWorkedWith,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply"
OfficeStackASyncWantToWorkWith,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply"
OfficeStackSyncHaveWorkedWith,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply"
OfficeStackSyncWantToWorkWith,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply"
AISearchHaveWorkedWith,"Which AI-powered search tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply."
AISearchWantToWorkWith,"Which AI-powered search tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply."
AIDevHaveWorkedWith,"Which AI-powered developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply"
AIDevWantToWorkWith,"Which AI-powered developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply"
NEWSOSites,Which of the following Stack Overflow sites have you visited? Select all that apply. *
SOVisitFreq,How frequently would you say you visit Stack Overflow?
SOAccount,Do you have a Stack Overflow account?
SOPartFreq,"How frequently would you say you participate in Q&amp;A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
SOComm,Do you consider yourself a member of the Stack Overflow community?
SOAI,"Artificial Intelligence (AI) tools have gained prominence recently across industries. The following question asks for your perspective on Stack Overflow using AI technology to improve the current experience, for example by using AI to suggest better titles for your question. For your response, consider these sorts of improvements to the experience with/on Stack Overflow and not the presence or absence of content generated by AI and posted on Stack Overflow. <br><br>What is your opinion on Stack Overflow using AI tools to improve the current experience? What could AI help with most to improve Stack Overflow?"
AISelect,Do you currently use AI tools in your development process? *
AISent,How favorable is your stance on using AI tools as part of your development workflow?
AIAcc,"For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve? Please check all that apply."
AIBen,How much do you trust the accuracy of the output from AI tools as part of your development workflow?
AIToolInterested In Using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.
AIToolCurrently Using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.
AIToolNot Interested In Using,Which parts of your development workflow are you not interested in using AI tools for over the next year?  Please select all that apply.
AINextVery Different,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using?"
AINextNeither different nor similar,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using?"
AINextSomewhat similar,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using?"
TBranch,Would you like to participate in the Professional Developer Series?
ICorPM,Are you an individual contributor or people manager?
WorkExp,How many years of working experience do you have?
Knowledge,Please rate your level of agreement with the following statement:
Frequency,How frequently do you experience each of the following?
Knowledge_1,I have interactions with people outside of my immediate team.
